It’s like the FIFA Peace Prize holds no value at all... 🏆🌍
Thank you Israel n US  <br>With love from Michael
Americans soldiers killed for israel
"HAHAHA BING BONG THE WITCH IS DEAD!! I&#39;m from Israel, whachu gonna do?? Nothing 😂😂😂"
where is Allah darling? proof that Allah cannot protect Muslims 😂😂😂😂😂😂
To be continue… this is what the American people have voted for ???
"Islamic muslim t3rrorists finally caught, freepalestine t3rrorist supporters finally will see what t3rrorists they supported for years. That regime funded that islamic muslim invasion in Europe and England, which Labour and Greens got votes for from the muslims, same regime from the middle east."
Every one barking park dinner
"The lying and corrupt BBC continues to echo the lies and propaganda of the murderous fundamentalist Muslim Ayatollah regime. This is because they hate Israel, the US and the West and love Muslim terrorists and murderous dictators like Ayatollah Khamenei, whom the entire world finally got rid of at a good time, much to their dismay.<br><br><a href=""https://www.youtube.com/watch?v=MHUIllnZQ08"">https://www.youtube.com/watch?v=MHUIllnZQ08</a>"
i keep forgetting who were talking about here. too many parallels
"My condolences to the anti-Semite BBC supporters of Muslim terrorism and to all the despicable and evil Naz!s in the service of Qatar, the murderous fundamentalist Iranian ayatollah regime and the Muslim Brotherhood. May the West and the entire free world soon be rid of you all and be truly free and protected from corrupt scumbags like you."
This is the best evidence of why Trump should win the next Nobel Peace Prize... no doubts 🤑😑🤐
Supreme leader dead. Rot in hell !
"It&#39;s about time someone took out that vile murdering scum. Khamenei has been brutalizing and killing citizens for God knows how long, and thank God someone put an end to it. I find it particularly offensive that the BBC would support such a vile monster."
Who is trump?
Give me a frickin break man
"Los Estados Unidos de Norteamérica acaban de matar al líder religioso y político de 92 milliones de personas bajo el mando de un presidente encontrado culpable 34 veces de actos criminales/felonios por su propio sistema judicial, que  además es uno de los  principales  personajes involucrado en el escándalo que rodea la &quot;isla de Epstein&quot;."
"Honestly, why would you bother covering anything trump has to say. What a waste of time bbc"
PRAYING 🙏 FOR ISRAEL 🇮🇱 USA 🇺🇸 IRAN 🇮🇷 WORLD 🙏
Here you go again!  Your beloved Democracy  😂  brought to you by USA like in Iraq and Ukraine! Stop watching this  BS !
Riperoni
"Russia attacked Ukraine, which is &quot;bad,&quot; and the United States and Israel attacked Iran, which is &quot;good.&quot;"
Al&#39;maut Israel...<br>       May I get opportunity and a  good weapon to destroy Israel and America...<br>          Leave Muslim to survive their way
STAY STRONG!!!IRAN🙏🙏🙏
"Long live trump,Natanyahu ang most progressive to Iranians stay Happy and Jesus will rule you now but not muhammad"
The only mistake of Iran leader was that he was not present in Epstein files. He decided to be good. Non of ever seen his house in Iran . He was a leader of a country but he live in a small house really simply. I always thought American fight for freedom and help other countries but now I know why Talaban fight 20 years they knew what kind of people you guys are. I have no word to explain a bunch of child sexual abusers .
"It is message to the World, <br>Any one who act above the the Law of justice. Must be punished,<br>Is a lesson to others who are showing their supremacy. 👌"
Let’s hope tRump is next… or better yet Netanyahu.
I&#39;m cancelling my licence. BBC is controlled by Israeli Zionists.
The BBC must be taken off air this tribute to this tyrant is a total disgrace . The right to broadcast must be removed the BBC is Britains enemy they must be sued by the state and who ever responsible jailed indefinitely. Qatar funded is;amid extremism has swallowed the BBC up whole this network simply does not care about truths
Trump makes troubles every where
BBC&#39;s Saddest day😭
Donald&#39;s PR team is working hard at deflecting from the current issues.
The level of desperation is extreme. From the Obama video a few weeks ago to full on war.
I am not distracted I am only concerned about the trumps involvement in Eipstein files.
America starts the war
"Operation “Forget Epstein.”<br>No need to shred files when you can drown them in other people’s blood ! <br><br>Cue permanent crisis mode. Iran. Israel. Regional escalation. Oil routes. Dubai’s safety narrative wobbling. Markets twitching. Maps on screen. Urgent voices everywhere. The timing doesn’t have to be planned to be useful. Everyone with something to lose understands the value of noise.<br><br>This is Wag the Dog without the satire. Not a fake war, just an endless one. You don’t suppress uncomfortable questions anymore. You overwhelm them. You flood the information space until yesterday’s scandal sounds quaint, even inappropriate, against today’s existential threat.<br><br>That’s how power works in the modern media ecosystem. Rolling conflict creates informational fog. Editors chase urgency. Governments lean into stability rhetoric. The press follows the heat because heat sells. No coordination required, just aligned incentives.<br><br>The Epstein files don’t vanish because of a single actor or secret meeting. They fade because releasing them would destabilise too many powerful constituencies at once. Politics. Finance. Institutions. Media. In a world edging toward war, “unresolved scandal” simply can’t compete with “breaking news.”<br><br>This doesn’t mean nothing happened.<br>It means attention is the real currency.<br><br>And once it’s spent elsewhere, accountability quietly expires.<br><br>So it isn’t an order.<br>It’s not a memo.<br>It’s forgetting by saturation.<br><br>And it works every time."
im so so sorry but the ai vid tho...😭
THANK YOU LORD FOR GETTING RID OF SATAN
Iran super leader is dead  . It good. The devil himself is dead ..
&quot;That time will come one day you&#39;ll see<br>When we can all be friends.&quot;<br><br>From the song The Miracle (1989) by the rock group Queen.
khamnei was truely a brave man who sacrificed his life but never bow before america where all other world leaders boot licking of cruel and terrorist trump
"⌚️🦅🛡✌️🕊⚡️⌚️ <br>⚡️👇Best time and best way to seek and worship 👑Yeshua🕊 the Light of the World🗯<br>⚡️Best time and best way to worship the God of Abraham=the Most High God=Yahweh=Yeshua=John 10:30👈🦅✌️🕊⌚️<br>⚡️👇Psalm 121:4=John 10:7-10👈🦅✌️🕊⌚️<br>4 He who keeps Israel<br>    will neither slumber nor sleep.<br>⚡️John 10:7-10👈🦅✌️🕊⌚️<br>7 Therefore Jesus said again, “Very truly I tell you, I am the gate for the sheep. 8 All who have come before me are thieves and robbers, but the sheep have not listened to them. 9 I am the gate; whoever enters through me will be saved.They will come in and go out, and find pasture. 10 The thief comes only to steal and kill and destroy; I have come that they may have 🧠life🌳, and have it to the full🕊<br>⚡️John 8:12=Yeshua the light of the world🗯🦅✌️🕊⌚️<br>12 Again Jesus spoke to them, saying, “I am the light of the world. Whoever follows me will never walk in darkness but will have the light of life.”⚡️<br>⚡️John 10:30⌚️🦅✌️🕊⌚️<br>30 The Father and I are one.”"
UN is 🤮🤮🤮🤮
"Great, another fustercluck so Dementia Don can try to take attention away from the Epstein files."
Trump drags us to a war
sad day for bbc
They treat their people like its the stone age. Lets send them there. Power to the Iranian PEOPLE!
KHAMENEI IS IN RUSSIA...HIDING IN A SAFE PLACE..HE LEFT EVEN BEFORE THE US BOMBED IRAN
*Whether the ayatollah is deceased or not; I guarantee his choices were to leave Iran FOREVER after pretending to be &quot;gone&quot; OR actually BE permanently &quot;removed&quot;.  Regardless the end result is the same; he&#39;ll never again have political power or influence.
Is he really dead he was old time to change and gives iran to show solidarity. His been epstiened. There are decoys and vast mountains to hide him.
"Are you really that naive to think the country&#39;s leader was living in some house in the middle of Tehran, but not in a very safe place outside of Tehran🤣🤣🤣🤣?  r u kidding us?<br><br>Second, with all the warnings from the US and Israel over the past two months about the upcoming war, would he really just stay at home with his family waiting for them to strike at 8:00 AM? Hahaha. Are you being serious? That’s not believable at all.<br><br>He just had to be removed from the political stage, so his name was erased. But right now, he and his family are definitely living somewhere else in the world with a different look.<br><br>This world is so big that thousands upon thousands of people the media told us were dead are actually alive and well. They just don&#39;t have a political presence anymore. That&#39;s it."
"Actual figures of American Troops  dead are over 3,000 till 02-02-2026 midnight. &amp; double that severely injured. Only on USS Abraham Lincoln is 8 dead and 20 injured"
Safe and sound in hell
Why is there an UN organization for the world?
"Aussie here mate pity he wasn&#39;t in the Epstein files, he&#39;d be safe.."
次は金正恩だな
Next up is Kim Jong Un
Maduro now iran trump is amazing
Make America Great Again!
ロシアに逃げる事も出来なかったなあ。<br>神の名をかたって私腹を肥やしていた罰当たりのジジイは地獄に行っているだろう!<br>腐れ息子がまだ生きている。
"Wow i loved it, US killed him. Terrorist people like him never deserved to live hats off to US president and military force👍"
Oohh so sad🎉🎉🎉
Praying for people in middle east and Iran.
Yet you managed to forget the grooming gangs who did the same thing while protect them🤢🤢🤮🤮
Condolences to the bbc
BBC is mourning.😢😢😢
"Hey you monster Netanyahu, ask not for whom the bell tolls....."
❤❤❤THANK YOU AMERICAN PRES TRUMP AND ISRAEL  PRIME MINISTER BENJAMIN NETANYAHO FOR DEATH OF AYATOLLAH KHAMENEI AND SUPPORT OF IRAN PEOPLE WHO AGAINTS AYATOLLAH KHAMENEI A TERRORIST MASTERIND IN MIDDLE EAST. THIS KIND AMERICAN AND ISRAEL ATTACT IN IRAN  IN IRAN ALMOST PEOPLE IN IRAN ARE VERY HAPPY NOW ❤❤❤
"America on Iranian sOIL, what tOIL to fOIL the incumbent regime, why? Wouldn&#39;t want to spOIL why, let&#39;s just bOIL it down to, oh idk.... OIL!"
"So far, Iran has only been playing with rhetoric. Boasting. But it turns out that the IRCG forces are unable to protect their Supreme Leader. Karma is real. He has been oppressing his own people all this time."
"The regime is evil.Killing innocent Iranians, women, men, tourist, diplomat, press.. because of idealogy.  They should wipe them out. And lasting peace. In the case of Iran.. No any other way. So people if you dont support this. Just shut up and see. Thank you Mr Prime Minister and Mr Trump."
Our lion Ayatullah ❤❤
Cheap people  .....yahoood o nasara
There will be peace in the world if there is no US and Israel.
Iran are not firing missiles into neighbouring countries! Those bases were emptied and prepared for these false flag attacks! We see through these lies!
Vote for Trump ❤
Ayatollah bbc back at it again as always 😂
We doing this for the money 😋
I have absolutely no respect for the US and Isreal anymore
"Nothing Iran can do to USA ans Isreal, they are weak."
"“Oil tankers are done for, oil prices are skyrocketing, the economy is crashing, and the global economy is screwed.” ECONOMIC DISASTER TRUMP <br>never believe tRump didn’t participate with Epstein and abuse these women when they were children. He’s in it up to his neck .sexual exploiter EPSTEIN COVER UP"
"This Ayatollah was the guy who said they won&#39;t develop and use nuclear weapons. Now they got him killed... I suppose the successor will say, go ahead.."
Whether it&#39;s right or wrong it had to be dun.they killed un armed people of their own.them like putin hav no respect for human lives ..expendables like dirt.just to fether their own nests.putin has to be next.🤔👍🥵
I smell another fifa peace prize 😅
"<a href=""https://www.youtube.com/watch?v=kdVuIfTvrJk&amp;t=210"">3:30</a> says the monster who seeks complete final solution in Gaza and the West Bank."
The US continue to flex its military might and aggression under the guise of peace and harmony. When will the US learn to stop interfering?
"God bless Israel and President Trump ❤.  Great sadness at the BBC, because an animal in human skin, who massacred tens of thousands of Iranians, has died. It is written in the Bible in Psalm 121: The God of Israel neither sleeps nor slumbers. Butcher Khamenei went to Satan (Allah of Islam) who promised him 70 virgins when he cracked 😂"
"Enough of the war, American and Israeli authorities! Why can&#39;t you live in peace?"
Trump is owned by Israel
Donald Trump? That&#39;s President Trump to you!
Szegény imam  öt nem kellet volna megolni  ő nem volt gonosz     nyugodjon békében  drága imam  egy  magyar  keresztény ő is ember volt  békét a világnak  éljen mindenki békében és foglalkozzon mindenki a természettel  mert a természet fogja  adni  a legnagyobb pofont az egész emberiségnek
BBC = ISLAMIC REGIME SUPPORTER
"The world&#39;s supreme court is United States can kill anyone in the world, anytime, waO what a great lesson to stupid humanity of today,."
North Korea has nukes.. why is USA afraid? Lost too badly in the 1950s?
The BBC in mourning the loss of their supreme leader … it’s heartbreaking for the lunatic left wing ideologists who take the British taxpayers money by the bucket load. Embarrassing doesn’t even begin to describe this.
The world is now coming to an end
.i think its safe to say the moral highground is 100% not something we can claim anymore - lawless racist and colonialist offering liberation by preparing the return of the shah - its incredible. im not a fan of iran or islam but as a christian westeuropean im deeply ashamed of what our &#39;leaders&#39; are doing while our economies are destroyed and foodprices have pensioners starving.its back to the dark ages . i keep hearing &#39;the american people&#39; thats not true though is it? check the polls. i pray for a change in leadership in the west and a return to the values people believe in. and i believed trump when he promised an end to wars.
"&quot;Whoever thinks that Ayatollah Ali Khamenei killing is the end of the story is delusional. It is only the beginning—the beginning of devastating wars and economic catastrophes that will affect the entire world. America and Israel have committed a fatal mistake, the consequences of which the world will witness in the coming period. Just remember my words.&quot;"
I believe a lot of americans would have rather heard about Trump been killed..... release all Epstein files ! Deposition of Trump under oath !
Mr Donald Epstein is an evil 👿 <br>American an Israeli regime should be changed.
Innocent lives lost. <br>Trump and that Jewish devil will have eternal torture. Guranteed.
Boom Boom Boom 💃💃💃💃💃
&quot;Operation Epstein Fury&quot;
Devil kills another Devil.
I hear you said that you are doing that for americans people but you Forget the innocent people killed by your responsablity ! I mean because of you
Unfortunately i agree with President Trump this time !!! ❤❤❤ <br><br>Eliminated the sadistic and brutally regime !!! 😢😢😢
Describing Iran as ruthless was a shear act of media stupidity of this channel! Iran stood down when Trump murdered General Solemaini and Ebrahim Raisi. They only announced they would make one bombing mission! They are the peaceful ones! USA is corrupted as hell! The Ayatollah is a beloved leader who is only despised by USA criminal counterparts such as Babak Zanjani - Obama sdng $400Mkllion in cash to bribe judges etc as a means to get him off. Zanjani was put to death rightfully!
"Shame on the BBC for paying tribute to this man. We have Iranian refugees and asylum seekers in this country that fled the persecution of this man and his regime, and you’re making tribute segments about him. Disgusting."
All those whom think that they are most powerful in this world as americans and Richie to kill innocent people inodore them too did they bielive in god ???
Yeah because Ali khamini was a peaceful islamic leader who diverted a Nation towards Islamic values..... the islam who protect and respect women and kids..... so does Ali Khamini..... do ur research how many covered little girls pray behind him feeling safe around him....... Not like Epstein Files or His Friends like Trump and their Supporters...... <br>So much a big loss of an islamic leader who never bends in front of Cruels......
Congress do nothing until they&#39;re pressured! Trump failed to get Congressional approval! He bombed Iran 900 times! Congress should have called him and told him to stop immediately!
"When Netanyahu  was accused of corruption, Trump became aware that the Israeli Prime Minister could not be removed  during a period of war.  When Trump became aware of that principle, I recollect him having said words to the effect that, he (Trump) found that to be a very interesting principle, that a leader cannot be replaced during a period of was, which he will keep in mind.  Coincidentally, Trump has a problem with the Epstein Files and Netanyohu  still has corruption issues."
Win from lying of peace but betray his people. Everyone Just killers. Weapon mean no trust human being?. Sharing is peace. is it not?
Trump is guaranteed to win the Nobel Peace Prize next year after this peaceful bombing… 🤣
"UN is useless can’t resolve anything, only empty talks."
But the British will never intervene in this matter because they understand that they are on an island and simply don’t have the strength.😅
Trump’s objective of this war is to have control over Iran’s oil
How many days of mourning have the BBC announced?
Its like Iran forgot the US has ICBM&#39;s. Iran will never be able to escalate it more then the US.
"I don&#39;t want to speak out of turn for everyone who has lost their life, but Jonathon Pryce would make a cracking Khamenei in the Netflix docu-series"
May the Iran president rest in peace. I hate USA . The devil 😈
There must be a lot files hidden in those Iranian schools then.
He is now inspecting his 72 Virgins and finding out the reason why theyre all Virgins!
"I congratulate US President Nathan Mileikowsky (Netanyahu). He managed to unite the Sunnis and the Shiites and turn the local war into a religious war. But Khamenei refused to hide in the bunker. He consciously made sacrifices for his faith and now he is side by side with Muhammad, the messenger of Allah in paradise with 77 virgins that Allah created especially for martyrs. They never have periods or headaches and on top of that nymphomaniacs are always ready to satisfy a martyr. I would like to die that way."
A  COWARDS ATTACK <br>AN ACT OF COWARDICE<br>CONDEMNS ON BEHALF OF INDIA
"I’m more concerned about a country that acquired nuclear weapons illegally and that has recently slaughtered around 90,000 civilians and stolen land as a threat to peace in the region - far more than Iran."
该死的独裁政权，期待特朗普能帮助中国人民除害。
TRUMP is the EViLEST
Yeah cause trump cares about the Iranian people 😂
Is it true that 108 children were killed by one of the US/Israeli air strikes?
☝🏼🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻🤲🏻
😭😭😭😭😭😭😭😭
American blood protecting weak Euros again.🇺🇸
Well done Trump 👏
"There will be no democracy in Iran. An Islamic society nowhere in our world allows for free elections, a free press, equality between men and women, or free science. Islam always and everywhere means oppression through dictatorship. Islam always means a fascist mindset. Islam always means stupidity, backwardness, oppression, violence, murder, manslaughter, rape, massacres. Solution? Ideas?"
Israeli President Netanyahu has been assassinated.<br><br>What will the world media do when they hear such news?<br><br>They will cry out for the blood of terrorists. Everyone in the world will post that the country will be completely destroyed. They will discuss religious terrorism.<br><br>Did any of you hear such arguments when the Iranian president was assassinated?<br><br>The devil Netanyahu preaches by quoting the Torah that he will destroy Palestine and Iran. Religion is their problem. Those who think otherwise are blind to the world.
"TRUMP AND NETAHYAHU ARE STUPID. ALI KHAMENEI IS GENUINELY AGAINST TNUCLEAR WEAPONS.<br>THEN THEY KILLED HIM. THE SUCCESSOR IS PRO NUCLEAR WEAPONS&gt; IDIOTS!"
"Shove it STARMER. You don&#39;t represent the British people, weakling. Notice how the weakling worded it..."
"BBC calling Death of Iranian leader an assassination ...<br>I guess that TDS is back , $5 Billion changes coarse ...sometimes it doesn&#39;t ."
This video was not neutral. Somewhere or the other it was pushing towards favouring Iranian people to rise
🌿
"What&#39;s the point of bombing US military bases? Of course, I haven&#39;t fully figured out the complete process of what happened yet. However, Iran&#39;s airstrikes on other neighboring countries have failed to protect the civilians of those countries. But the US airstrikes on Iran, including Israeli airstrikes on Iran, etc. The United States and Israel did not Intending to kill civilians, Although it may indeed cause civilian casualties, However, the missiles appear to be targeting military facilities with remarkable precision. It is not primarily aimed at ordinary people. Many Iranians, or so-called &quot;good people,&quot; say this is an unjust war. But I just want to ask one question. Is Iran truly righteous? Is it possible for Iran to retaliate against military targets but not civilians when attacked by another country? Although Iran claimed it was a retaliation, However, US military bases are not on the US mainland. Iran&#39;s airstrikes on US military bases in other countries are tantamount to innocent airstrikes against foreign governments and local armed groups. Iran, you&#39;ve ruined your relations with your regional allies. What will you do in the future? Although my comments may seem overly harsh, But those of you reading my comments should think about this, The question is, how can a country that relies heavily on importing agricultural products from other countries even for its food win a war that never actually happened?"
"Aside from Kennedy and Washington, he is arguably one of the most charismatic U.S. presidents in history, and a president of the world."
"You know we&#39;ll come back to Epstein, after this is finished...."
A total mess made by trump this is actually crazy
"Ding dong, the wicked itch is dead dead dead dead... Now they just need to destroy the IRGC anywhere it tries to gather."
FAFO beardy
"<a href=""https://www.youtube.com/watch?v=kdVuIfTvrJk&amp;t=488"">8:08</a> the whitest White House"
"Poor Ayatollah.  The BBC will always stand with wrong&#39;uns.  <a href=""http://www.youtube.com/results?search_query=%23defundthebbc"">#defundthebbc</a>"
Change the headline to “head terrorist eliminated” and you’ll be correct
He&#39;s not
The political system in Iran enslaves women; it&#39;s a complete scam. Slavery must end now.
"El sistema político en Irán esclaviza a las mujeres, es todo un Big Scam. Que acabe la esclavitud ahora. <br><br>The political system in Iran enslaves women; it&#39;s a complete scam. Slavery must end now."
Donald Trump is tonight&#39;s celebrity mastermind
Its been a very bad year for the Pro Hamas set.<br>Aye aye aye !
May Allah grant us life. May Allah Almighty keep the religious leader Ayatollah Ali Khamenei healthy and well. Keep him safe. Amen. Stand tall and honorably. May Iran. May Allah Almighty protect Iran. You will never fall. Alhamdulillah. Victory is history. Insha Allah. 🤲✊ Victory will be for the Iranian president. Victory will be for the people.alhamdulillah ❤❤❤❤❤
you need to upgrade your bandwidth ....
Good way to represent your noble peace prize that you took by force
Guys is The Supreme Leader actually dead 😮
Tourist you say
YOU WERE THEY LACKEY RAQID  ALL THESE YEARS MY &quot;CONDOLENCES&quot; TO BBC😂😂😂
Bbcin deep mouringjng
Very sad 😭😢
"AMERICA Used pakistani gwadar base to kill Iran leader khamenni, protest Againt Pakistan"
Who&#39;s next?
Trump and Netanyahu both are Terrorist President 🤧!
Trump making problems world?
USA and Israel both are Terrorist Country 🤧!
All my condelesance for BBC and CNN
What a victory for the world!!!
One thing that America fears the most. Another prolonged war that may cost another 10+ trillions. Let&#39;s see how this will all span out.
"“ It has a complex polítical system underpinned by ideology, corruption and the ruthless use of force to crush dissent “.<br>Sounds like the U.S."
Wow super nice 🎉🎉🎉🎉🎉🎉❤❤❤❤
You guys already forget what happened to Iraq after they kill the leaders of Iraq!  Now the next generation of Iran could take revenge on US because of this orange moron!!!
💀💣🇨🇳🇷🇺🇰🇵💣💀
USA should prepare a war with Russia this will happen in president trump time so pls well
USA should prepare a war with Russia this will happen in president trump time so pls well
Sad day for BBC
Good news....a nuclear own country that have connection with multiple other nuclear own country president being killed...cool
Do as we say usa or usa will kill u
"THIS IS MISTER PRESIDENT SPEAKING, NOT LIKE THE OBAMA,"
"That pig faced as….. joker leader of that no one third class country on this planet is going to pay for his crimes, and sins very badly😢<br><br>I feel disgusting, and feel 🤮 puking after I read all the news about ep….. files, He and his country people are dirty minded, pure evil , psychopaths. And they tortured small girls???? 😢😢😢 Really NO ONE THIRD CLASS COUNTY ON THIS PLANET 😢😢😢😢"
Israeli is a terrisist state
America and Israel the two biggest terrorists in the world
"I listen to the news reports,sky news, BBC etc amazingly similar...  nobody will miss the supreme leader, especially the iranian people, and the iatola being a nasty oppressive leader, ruling with a &quot;strong hand&quot;, oppresing the people, killing protesters, being a law unto himself, and many more condemnations and suddenly realised you could honest to God substitute &quot;donald trump&quot; for &quot;iatola Kahamonei&quot; and the report was still true and valid for its entire length when applied to america.  Quite a revelation...<br>Then the iranian leaders talking about the Iatola saying how wonderfull, and intelligent and the best leader in a generation blah blah blah,  and the hyperbole was virtually identical to the GOP when talking about/praising  trump"
Does this mean we’re not getting the additional 3 million pages of the Epstein files?
Iranians voted for this government. Why would they remove It?
"this man has been in power for over 40 years, no one voted for hm, thats why he is called the supreme leader. Alos over 80 percent of iranians are happy that he is dead"
"The United States and Israel are human disasters, and the Jews have forgotten the disaster that they were slaughtered, but now they are slaughtering others!"
May he rest in peace in heaven.  Let those who murdered him face the worst death possible and then rot in hell.
Donald Trump is easily the greatest president I’ve had in my lifetime. And yours too.
"Not to having any good impression on the current gov of Iran, but if the logic of I dont like you I could just bomb you being practiced more and more, US is better hoping they would be forever No.1"
It was revenge for Shah Leotardo. Amongst other things.<br>It was amongst the Lupertazi&#39;s. <br>Real Greaseball stuff.<br>We just had to sit there and take it.
Don&#39;t think you getting away trump we haven&#39;t forgotten about Epstein
Good
🚀🐯🇧🇩🇮🇷🇹🇷🇹🇳🇷🇺🇻🇪🇧🇷🇵🇰🇦🇪🇰🇵🇵🇸🇿🇦🫂♟️👆🚀🚀🚀ইরান এটাক সব আরব দেশের উপরে করা জরুরী ফরজ হামলা করা হোক
Starmer is a clown
To  killed   ìran  leadership  is not the  end of tyranny  regime  of  Iran government whereas  USA and  Israel  have been  killed  many  leaders of  Iran  but  no  solutions  has  been check  and  stop  any  problems  so until  and unless   ìrģc  and  the  supporters of  Khamenei  government are  not  killed
Opperation Epstien Fury
"So sorry for your loss BBC, stay strong.<br>Loosing a friend is never easy"
The lran regime is shaky hw can they allow a leader to be killed
The left wing media is getting this all wrong. This is not war nor an intervention but a peace mission to remove an evil dictatorship for the benefit of the Iranian people.
Yayyyy emperor palpatine (Ayatollah) is killed!!!<br><br>A few thousand dead due to conventional weapons beats alot of dead millions due to Iranian nuclear weapons!!
How many more American soldiers will Trump sacrifice to get rid of the Epstein files? Americans shouldn&#39;t die for Israel.
"Please, help the people of London. The UK Military Command, Military &quot;Intelligence&quot;, and many key active military barracks and secure military sites are located within Greater London area.  Millions of citizens including tourists, primary school children, hospital staff and university students are being used as human shields by the regime."
I cannot believe we have learnt nothing from history... more wars?
You have learnt. But they don&#39;t care. They are just not being honest about not caring. They are psychopaths. Parasiting on caring people is their business. You need to learn to think like them to understand what&#39;s going on.
"@liesbeth4271 true, they are bullies and always will be... nothing will change that... true."
@liesbeth4271 Not psychopaths but greedy dumb men. They knew what they&#39;re doing. These people will face their consequences in the worst way soon.
@ot7boooriginal747 of course they are psychopaths... with low empathy.
"leaders need gone first<br>7 out of 9 meet virgins so far😂<br><br><a href=""https://www.youtube.com/watch?v=ah-HQboR6Mc&amp;t=60"">https://youtu.be/ah-HQboR6Mc?t=60</a>"
Islam a made up religion for the gormless.
Happy St David’s Day 🌾
They will soon obliterate the US navy
The American Supreme Leader has killed the Iranian Supreme Leader.
"We don&#39;t need a highly paid journalist reading President Trump&#39;s posts on TruthSocial. There was no UN Security Council meeting after 9/11. Even the damn Security Council members were sitting in the basement. On 9/11, Iran&#39;s Khamanei murdered 3,000 innocent US citizens. 3,000! Get the hell out of here!"
I don’t support Iran’s rejime but this doesn’t give right to America to attack..😢
Trump is trying to cover his Epstein relationship😢 BBC is not neutral we know.
🎉🎉🎉🎉🎉❤❤❤❤❤❤️ ❤️
They did not suffer under but karma for when put him in power over the Shah 🤔🤣
Can&#39;t there be peace in the world?
"Great inciting moves, God saves iranian"
"I&#39;m so glad a politician, especially one as powerful as Trump, is finally taking action on the Islamic regime in Iran. They&#39;re an evil bunch, and I hope that the military of the Iranian regime will go down just as quick, so that the women, children and all victims of the country are finally free. I may not favour Trump, but I&#39;m so happy he&#39;s actually doing something to help, unlike the UK currently."
Why is the US the only country taking action ?
